player,Player_Type,Nationality,BasePrice,SellingPrice,PerformanceIndex,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
TK Curran,Pacer,Overseas,15000000,15000000,79,127,13,108,13,252,432,13,9.77,117.59,12.04,10.29,33.23,19.38,2,0
TL Seifert,Batsman,Overseas,5000000,5000000,75,26,4,26,0,0,0,3,8.67,100,15.38,0,0,0,1,0
TM Head,Batsman,Overseas,20000000,68000000,86,205,20,151,2,48,81,10,20.5,135.76,13.25,10.12,40.5,24,3,0
TS Mills,Pacer,Overseas,10000000,15000000,78,8,1,14,11,218,349,10,0.8,57.14,7.14,9.61,31.73,19.82,1,0
TU Deshpande,Pacer,Indian,2000000,2000000,76,21,3,12,4,153,260,7,3,175,25,10.2,65,38.25,2,0
Tilak Varma,Batsman,Indian,2000000,17000000,80,397,45,313,0,12,13,14,28.36,126.84,14.38,6.5,130000,120000,10,0
UT Yadav,Pacer,Indian,20000000,20000000,81,177,23,176,135,2945,4041,132,1.34,100.57,13.07,8.23,29.93,21.81,32,0
Umran Malik,Pacer,Indian,5000000,40000000,83,4,0,8,24,388,551,17,0.24,50,0,8.52,22.96,16.17,3,0
V Kohli,Batsman,Indian,20000000,150000000,99,6634,800,5266,4,264,371,216,30.71,125.98,15.19,8.43,92.75,66,93,0
V Shankar,Allrounder,Indian,5000000,14000000,78,731,74,616,9,258,344,47,15.55,118.67,12.01,8,38.22,28.67,27,0
VG Arora,Pacer,Indian,2000000,20000000,73,5,0,14,3,110,165,5,1,35.71,0,9,55,36.67,1,0
VR Iyer,Allrounder,Indian,10000000,80000000,84,552,75,474,3,78,117,22,25.09,116.46,15.82,9,39,26,11,0
Virat Singh,Allrounder,Indian,2000000,19000000,78,15,1,26,0,0,0,2,7.5,57.69,3.85,0,0,0,2,0
Vishnu Vinod,wicketkeeper,Indian,2000000,5000000,73,19,2,26,0,0,0,3,6.33,73.08,7.69,0,0,0,0,2
WP Saha,wicketkeeper,Indian,10000000,19000000,82,2427,307,1951,0,0,0,117,20.74,124.4,15.74,0,0,0,79,22
Washington Sundar,Allrounder,Indian,15000000,87500000,83,318,35,278,33,928,1116,50,6.36,114.39,12.59,7.22,33.82,28.12,9,0
YBK Jaiswal,Batsman,Indian,10000000,40000000,86,547,84,410,0,1,6,23,23.78,133.41,20.49,36,60000,10000,6,0
YS Chahal,Spinner,Indian,20000000,65000000,87,37,0,89,166,2940,3699,130,0.28,41.57,0,7.55,22.28,17.71,21,0
Yash Dayal,Pacer,Indian,2000000,32000000,79,0,0,1,11,205,296,9,0,0,0,8.66,26.91,18.64,1,0
